,name,zipcode,county_string,rating,review_count,category,price
322,Three Monkeys Tavern and Grill,28075,"Cabarrus County, North Carolina",3.5,41,American (Traditional),$
323,Park Road Soda Shoppe - Kannapolis,28081,"Cabarrus County, North Carolina",4.0,22,American (Traditional),$
324,Local 25,28025,"Cabarrus County, North Carolina",4.5,29,American (New),$$$
325,Crispys Bar And Grill,28083,"Cabarrus County, North Carolina",4.5,90,American (New),$$
326,Zafran Kabab Palace - Harrisburg,28075,"Cabarrus County, North Carolina",4.5,74,Indian,$$
327,Aroma Indian Cuisine,28027,"Cabarrus County, North Carolina",4.0,203,Indian,$$
328,Anna's Italian Restaurant & Pizza,22572,"Richmond County, Virginia",3.5,8,Italian,$$
329,Hunan Village,22572,"Richmond County, Virginia",4.5,15,Chinese,$$
330,Relish,22572,"Richmond County, Virginia",4.5,26,American (Traditional),$$
331,Patrizia's of Brooklyn - Staten Island,10308,"Richmond County, New York",4.0,325,Italian,$$$
332,Piccolino Ristorante,10308,"Richmond County, New York",4.0,54,Italian,$$
333,Trattoria Romana,10305,"Richmond County, New York",4.0,139,Italian,$$
334,Casa Verde,10306,"Richmond County, New York",4.5,33,Italian,$$
